OPTIC - Optio Protocol Telemetry & Intelligence Center
Address ledger (sent/recv, from/to, amount, fee, running balance)

CWD:          C:\workspace\OPTIC\OPTIC
Config path:  C:\workspace\optic\optic\optic.conf
Config exists:True

OPTIC - Daily Stats Backfill (Block Scanner)
Local data sync initialized at: C:\workspace\OPTIC\OPTIC\odata\optic.db
Scanning blocks from RPC node...
LCD endpoint not available, trying RPC endpoint...
Latest block height: 588561
Starting block scan from block 0...

Γ£ô 2024-11-05 | Blocks: 0 - 1 | Wallets: ? | Active: ? | Txs: ?

  2024-12-25 | Blocks: 13,811 - 14,900 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 15,000 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 15,100 | Wallets: 2 | Txs: 1          
  2024-12-25 | Blocks: 13,811 - 15,200 | Wallets: 2 | Txs: 1          Γ£ô 2024-12-25 | Blocks: 13,811 - 15,226 | Wallets: 2 | Active: 1 | Txs: 1

  2024-12-26 | Blocks: 15,227 - 15,300 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,400 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,500 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,600 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,700 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,800 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 15,900 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,000 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,100 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,200 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,300 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,400 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,500 | Wallets: 0 | Txs: 0          
  2024-12-26 | Blocks: 15,227 - 16,600 | Wallets: 0 | Txs: 0          Γ£ô 2024-12-26 | Blocks: 15,227 - 16,642 | Wallets: ? | Active: ? | Txs: ?

  2024-12-27 | Blocks: 16,643 - 16,700 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 16,800 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 16,900 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,000 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,100 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,200 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,300 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,400 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,500 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,600 | Wallets: 0 | Txs: 0          
  2024-12-27 | Blocks: 16,643 - 17,700 | Wallets: 2 | Txs: 1          
  2024-12-27 | Blocks: 16,643 - 17,800 | Wallets: 2 | Txs: 1          
  2024-12-27 | Blocks: 16,643 - 17,900 | Wallets: 2 | Txs: 1          
  2024-12-27 | Blocks: 16,643 - 18,000 | Wallets: 2 | Txs: 1          Γ£ô 2024-12-27 | Blocks: 16,643 - 18,059 | Wallets: 2 | Active: 1 | Txs: 1

  2024-12-28 | Blocks: 18,060 - 18,100 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,200 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,300 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,400 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,500 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,600 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,700 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,800 | Wallets: 0 | Txs: 0          
  2024-12-28 | Blocks: 18,060 - 18,900 | Wallets: 8 | Txs: 1          
  2024-12-28 | Blocks: 18,060 - 19,000 | Wallets: 8 | Txs: 1          
  2024-12-28 | Blocks: 18,060 - 19,100 | Wallets: 15 | Txs: 7          
